IgroupName,initiator
bidev3_iscsi,iqn.1991-05.com.microsoft:bpeca01-bidev3.bridgepoint.local
biqa3_iscsi,iqn.1991-05.com.microsoft:bpeca01-biqa3.bridgepoint.local
